date,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37
2015-12-24,0.7677908,-0.5166508,0.5181155,-0.42050424,-1.5167512,1.4083171,1.328005,-0.18415073,-0.35171536,-1.4963155,0.23561427,-3.3467965,0.8588567,1.14177,-0.7539009,0.40282926,-0.37387303,0.39446485,0.38572848,-0.49197954,0.23606265,-1.0108452,1.8041735,0.38999394,0.48273844,0.43625543,0.68131125,0.53518695,-2.910404,1.2048403,-0.67258203,0.6300524,0.07943608,0.89711475,1.1747944,0.40297586,-1.5958073
2015-12-25,0.35992506,-0.3079743,-0.29924855,0.8503527,2.0295393,-0.30646783,0.5640294,-1.3351064,0.3951174,-0.057765126,-0.03709276,0.58453554,-0.36347187,1.2235799,-0.24271952,0.04541489,0.17233996,0.9884813,0.0942193,-0.34754303,-0.3518089,0.3450806,1.0974336,0.67712903,0.6729398,0.39813513,0.0999623,0.09010754,0.09526917,-0.5711724,-0.15985623,0.20389178,0.086765364,-0.164927,-0.52601016,0.06557094,-0.16683854
2015-12-28,0.55910635,0.23277976,-0.5205949,1.5648632,2.428386,-0.550317,0.63310075,1.3065832,0.2924608,-0.6281484,1.0961705,-2.2159188,-0.25928295,1.7132856,0.046921983,0.3488104,0.36211804,0.9810697,0.4572505,1.3809756,0.6938928,0.27059436,-0.39997613,0.34922153,0.10955295,1.0167251,0.4956404,-1.0109229,-0.85940295,1.8160763,0.6246918,1.3279641,0.19199616,0.7449614,0.67055756,-0.15579073,-0.34946847
2015-12-29,0.17434129,-0.06357605,-0.37770742,-0.11065072,0.6671083,-0.267385,0.09643304,-0.12677051,-0.3679333,-0.2008814,-0.040740516,0.59124696,-0.25774217,-1.1455094,-0.90830624,-0.10369381,0.2921198,-0.8953774,1.2978787,-0.5386752,0.1699251,0.6006616,-1.0531408,-0.49746928,0.04738427,-0.021650372,0.051861435,0.27663544,0.5573886,-0.20563053,-0.6989802,-0.82039833,0.5808575,-0.3238775,0.62873805,-0.036356594,0.093167596
2015-12-30,1.2723684,-0.96461886,0.5852907,1.8998137,-1.3452545,-0.16668513,0.35304156,0.25370267,0.18654518,-0.773358,0.45390326,2.1436238,0.30686066,-0.3516065,0.09202294,-0.049008697,0.1634593,0.4021705,0.4343527,-0.16904604,-0.17532392,0.5572905,0.7270827,0.025179727,1.2295452,0.5986449,1.4461961,0.15428928,-0.4587393,1.9282805,1.1934884,1.0713003,1.1764799,0.5996928,-0.095582105,0.69253004,0.2986487
2015-12-31,-0.6095287,-0.21029112,-1.7884028,1.9132493,-0.9252567,0.042572834,-0.74927866,-1.05677,0.3769092,-0.9964588,-0.6649566,-2.2966645,-0.8366146,-2.090961,0.0714863,-0.24384773,0.24614273,-0.2591408,-0.6197188,0.4124178,1.0743587,-1.3834145,-0.47887266,-1.1766295,-0.47909984,-0.23071,-1.6284316,0.36684918,-0.06071741,-2.0275908,0.072302304,-0.48592716,-0.36746028,-1.0436938,-0.3761265,-0.46980315,-0.11302114
2016-01-04,-0.6684922,0.4364257,-2.0426447,-0.41798088,1.1608709,-0.9720425,-1.298455,-2.5577931,0.4470338,-1.2264972,-0.39268592,-2.5137844,-0.79016334,-2.0627546,-1.2445742,-0.6025624,1.1056305,-0.07371269,-1.6644791,1.5005294,2.2229052,-1.0465281,-1.3003627,-1.4936508,0.19024317,-1.534299,-1.0457964,0.6853765,-1.0415611,-1.4628868,1.1083949,-0.94728607,-0.6177924,-1.3375405,0.16424343,-0.79733205,-1.7507485
2016-01-05,-1.5664626,-0.6214635,-3.7754624,-2.0773132,1.8738761,-1.182613,-2.4103525,1.0545483,-0.70770437,-1.1066545,-1.3087156,-7.965487,-2.8473582,-4.3832183,-1.455643,0.9389206,0.69586694,-1.9547479,-1.511353,0.25714883,-0.3294423,-2.089711,-1.8575565,-3.8286304,-0.21424407,-1.6259437,-1.3139851,0.8820748,0.5959784,-4.559018,1.888264,-1.2073873,-0.81292504,-1.1419483,1.6831261,-2.2192361,-0.23122036
2016-01-06,-0.20775974,-0.3686338,0.5241849,-1.0697119,-1.1559249,1.0137169,-0.15482232,-1.2581146,0.22836894,-0.041363176,-0.06987689,2.0003679,-0.760084,1.6778475,-0.78703284,-0.841485,6.1047463,0.1914157,-0.560718,-0.0635773,1.3097447,2.1124985,0.004513372,-0.30654,0.13397425,-0.5821426,-0.3123676,-0.8886776,-0.97267187,-0.43421853,-1.4326481,-0.15413629,-0.037384257,0.45938304,2.305859,0.9417709,-1.0943217
2016-01-07,-0.7442631,0.82149017,-1.7092755,-2.4631665,0.35751957,-1.3145825,-1.078494,-2.0853539,0.59445435,-1.3206475,-0.21520434,-1.6842101,-1.1291194,-2.3941643,-1.3657116,0.9310945,1.4211426,0.22390854,-1.0773236,1.2846758,0.6018868,-0.6655935,-1.0253222,-1.3754536,-0.76580495,-1.0613307,-0.9974505,1.3145598,-0.44241735,-1.2325624,-0.40226713,-0.9765584,-1.3082043,-1.4996787,0.41893584,-0.5339691,-0.9073344
2016-01-08,-2.028327,-0.70801634,-1.4640285,-2.8141434,0.03453392,1.1844147,-1.6174169,-0.4644961,-0.5230943,-0.79040426,-0.9169922,-6.465006,-2.6067533,-1.8724251,-1.1212205,0.40979278,5.5273046,-0.40862972,-1.6550739,-0.30247414,0.6654776,0.16696766,-0.6923725,-1.9115797,-1.2260569,-0.8447213,-2.0210755,-0.28402933,0.40841028,-3.8448393,-2.2746298,-1.6009164,-1.7418579,-1.0477666,2.88879,-0.41482392,-0.5486813
2016-01-11,-0.8330272,1.2082145,-1.1148522,-3.0802512,0.1933384,1.3439759,-1.4356745,-2.3688445,2.2922301,-0.33837363,-0.8272883,-4.080245,-1.8520209,-2.0853546,-1.4599013,0.77620983,0.41460404,-0.48238382,-1.635574,0.8671317,1.3785539,-1.0506042,-2.376756,-0.1639812,-0.96716505,-2.912502,-1.8282404,0.53282225,-1.2644635,-2.4768786,0.38835475,-2.3035593,-1.9586531,-2.5238008,2.4328933,-0.93349403,-0.4368216
2016-01-12,-0.058974493,-0.3209712,-0.8829059,-1.214731,0.9525315,-1.6958284,-0.28243715,1.28398,0.067396626,0.53980607,-0.7584599,2.575182,1.2660537,-0.28891852,1.0518188,0.013839667,-1.9027567,0.57428104,-0.2794415,-0.3328646,0.4403552,-1.9761657,-1.2103058,1.6587888,-1.6618131,0.18758662,-0.9594516,0.0969682,1.5617824,0.63389075,-0.1383616,0.57315505,-0.9413153,-0.3372876,-2.8950784,0.23632841,0.6857735
2016-01-13,-1.4795996,-0.23998927,-2.1617835,-1.444817,-3.322136,-1.0570892,-1.323798,-0.22959849,-0.48599455,-1.1348779,-1.163029,-7.1911683,-0.46201694,-1.48423,-0.68851095,0.23970012,1.370846,-0.013962919,-0.6232158,0.39782423,0.7369851,-1.7442112,-2.7842996,-1.4776832,-1.880229,-0.29588825,-1.9040947,1.0300572,2.6221554,-2.906507,-1.7910638,-2.0760157,0.10737414,-1.2963806,-1.6707221,-1.4487013,0.11119498
2016-01-14,1.7442318,-0.81926954,1.8390816,-1.0247641,-1.3998183,0.35526368,1.092739,2.7840981,-0.36258733,0.8629689,0.687691,6.42808,2.3333354,1.774936,1.080232,-0.67002,1.0561,0.19722137,1.4257843,-0.229177,-1.3362857,0.73016816,1.3544527,0.99235445,0.9457878,1.5516526,1.8705668,-0.8510437,0.647026,3.6577127,1.7388232,1.6310052,0.38588643,1.1825261,-0.3292238,0.9089671,0.673425
2016-01-15,-0.0913871,-1.0127592,-0.96433824,-0.96518236,0.826467,-0.8731274,0.9025256,1.6632842,-0.5513815,-0.06887664,-0.07250737,5.7921495,-0.4202152,0.9495907,0.11782414,-0.7231069,-0.7163499,-0.27999687,0.40438816,0.5581958,-0.71164095,-1.3088508,-0.5843111,-0.28258914,-0.5814522,1.3436766,0.28112927,0.6743796,1.3001373,0.50948423,2.417705,0.7128419,-0.016609201,-0.3045756,-1.1075848,0.0991835,0.5381778
2016-01-18,1.3232284,1.2912662,2.4326737,-0.16544619,0.76233155,0.52181417,0.85580397,0.32504508,0.05224855,0.52893066,1.1247971,6.213607,1.5970305,0.6967507,0.5740165,0.2702432,-2.1089425,0.2571776,1.420088,-0.4993883,-0.9511736,0.95628077,1.3293906,0.36957955,1.2943729,0.70956135,2.0674493,-0.60019875,0.001260283,3.108862,1.1567684,2.2653084,1.4026461,1.1272821,0.31920964,1.0662036,0.35414395
2016-01-19,0.2662827,-0.5533107,0.75433916,-1.0139713,-0.34931746,0.19504699,0.060867198,0.60097134,2.5209587,0.76423424,0.16656841,0.7363806,-0.49076802,1.2617905,-0.41085488,-1.162173,-0.67670506,-1.0136157,0.4849931,-0.9063991,-0.50967467,0.54606116,0.50870216,-0.46032897,-0.8904896,-0.5824919,-0.29405367,-0.79934245,-0.31519923,-0.038567066,0.6225297,0.033204675,0.20134905,0.084993705,-0.67688024,0.05898994,0.08054654
2016-01-20,0.037287213,1.5069163,0.34304348,-1.4471982,-0.9674574,0.17300448,0.63436574,1.3234608,0.28327245,-0.6587127,0.449684,-0.67065865,-0.2590107,-1.1939954,0.036163304,0.18584678,-0.9479384,0.99350166,0.26057583,1.499661,0.3598564,1.016958,0.54312176,-0.29559517,-0.15752557,-0.14261992,-0.0665222,-0.6575715,0.35897112,-1.0668173,-0.78442544,0.2765496,0.4173057,0.3792774,1.4696342,-0.05570795,-0.75058234
2016-01-21,-0.6849412,-0.4179231,-1.9822398,-1.382242,-0.69760984,-1.0659447,-0.97895646,-2.380858,-0.2235524,-0.31375912,-0.54544896,-4.065848,-1.8165629,-2.7628164,0.54502577,-0.2664351,2.0657246,0.022538573,-1.071127,0.19774015,0.77288365,-0.42020452,-1.0633477,-0.12060367,-1.4112788,-0.911633,-0.9158903,0.86463237,-0.45331863,-0.79253846,0.37220755,-1.0146034,-1.9334778,-1.1090229,0.5009438,-0.5390648,-0.047942974
